label,max_m,rms_m,mean_m,median_m,p95_m
Here-Origin,40.896391783721,23.9947994255597,21.1084875142914,21.1227216309519,38.9177791697872
Here-B1,7.18249117968364,3.81715945364171,3.61394474206486,3.7294308666622,5.57539319995769
Here-B2,11.4968655040245,7.39465557393149,7.16845635902741,7.15858158224427,9.91991476845712
Here-B3,53.6518579052437,27.7090642212985,23.6526510094113,22.0802661972408,47.2644184014748
Here-B4,17.9453926296457,8.20784160937609,7.4550821619929,6.87351741971923,13.2379392040219
PSINS-Origin,40.9133513342232,24.0077129505641,21.122100586087,21.1357696605371,38.9352264916382
PSINS-B1,5.59904695341771,3.46283148425984,3.33372947449734,3.52918022292055,4.54472316674988
PSINS-B2,11.8077627030486,7.74885981902382,7.48025577535892,7.34877618409396,10.6458433407151
PSINS-B3,54.5864382065215,27.5629506480051,23.5032106700627,21.8734870978037,48.0603291409652
PSINS-B4,17.1270675305708,8.03611997054404,7.30064915578047,6.71117291723825,13.307573335745
