label,max_m,rms_m,mean_m,median_m,p95_m
Here-Origin,33.1197327607477,19.1421696198634,16.6499531712177,16.557142139018,31.4593210971334
Here-B1,10.1056255760301,6.20816442745765,5.97737050535821,6.12328261564997,8.33121491073374
Here-B2,6.30857389098781,3.63669038961483,3.53259435148143,3.4517110394929,5.07749660420222
Here-B3,28.8285888376083,14.0854842013894,12.3299604622059,11.2565629814456,23.5323642467166
Here-B4,42.9253268595278,21.5154029649435,18.4273141890449,17.1508033308107,37.1158699550841
PSINS-Origin,33.1410006930863,19.1580773686532,16.6679298051041,16.5737134672073,31.4799521111779
PSINS-B1,11.192010266904,6.71068242730588,6.42162890502132,6.5514546755182,9.25378839172881
PSINS-B2,6.32701821034915,3.53980450081219,3.43706538901917,3.40282545760187,5.08156805456663
PSINS-B3,29.2602847115184,13.9705107098327,12.207187938449,11.0876389535539,24.0070315508725
PSINS-B4,42.769423802426,21.2789013407698,18.216675596167,16.9303175225928,37.1934543239365
