WindowID,WindowEndTime,Scenario,HorizontalLambdaMin,HorizontalCondition,HorizontalLogDet,FullRank,FullWeakSingularValue
1,126012.57,Alternating,0.000600433037277512,2.18745549058143,-6.10313161367981,9,0.0153337617285234
1,126012.57,Fixed-B1,0.000219959473010788,8.91895114769853,-6.36500087164404,9,0.0153009316362248
1,126012.57,Fixed-B2,0.000145959644803042,12.7068834500387,-6.56749535463026,9,0.0137423994180159
1,126012.57,Fixed-B3,0.000103183835502397,14.8753213336104,-6.8003103049999,9,0.0148206101150014
2,126432.57,Alternating,0.000572493615957772,2.34200549642851,-6.11487079274812,9,0.0139769330927876
2,126432.57,Fixed-B1,0.000175571686283478,11.2776506051639,-6.45887240109903,9,0.0155587694304503
2,126432.57,Fixed-B2,0.00017677365726479,10.4103403738046,-6.4876999737446,9,0.0138531320987417
2,126432.57,Fixed-B3,8.49186415069951e-05,17.8344252720108,-6.89073480039569,9,0.0144469823102848
3,126852.57,Alternating,0.000579998836606568,2.30563358037669,-6.11035546526863,9,0.0141817702050736
3,126852.57,Fixed-B1,0.000126237419973234,15.7168324488002,-6.60125875321296,9,0.01563994157449
3,126852.57,Fixed-B2,0.000201619428061813,9.0429386892204,-6.43462565438517,9,0.014103576047876
3,126852.57,Fixed-B3,6.44682588209126e-05,23.2933633107913,-7.01407591085212,9,0.0141753217612611
4,127272.57,Alternating,0.000609497702876953,2.0647003662111,-6.11519881782464,9,0.0156488329624976
4,127272.57,Fixed-B1,9.05014875758709e-05,21.6550163650731,-6.75113004315719,9,0.0155434503720563
4,127272.57,Fixed-B2,0.000228843386898156,7.81429151599083,-6.3880336556391,9,0.0143733775359519
4,127272.57,Fixed-B3,5.00825164823081e-05,29.7727186430964,-7.12680921249805,9,0.0138635693221323
