WindowID,WindowEndTime,Scenario,HorizontalLambdaMin,HorizontalCondition,HorizontalLogDet,FullRank,FullWeakSingularValue
1,116866.825,Alternating,0.000694254687403767,1.62376776027247,-6.10643844338064,9,0.0157689613504086
1,116866.825,Fixed-B1,6.09485916494734e-05,32.8953627343845,-6.91293796347689,9,0.0154140083705069
1,116866.825,Fixed-B2,8.60634856836406e-05,18.0050835956329,-6.87496698938616,9,0.012209489286277
1,116866.825,Fixed-B3,0.000255143717483221,5.42323250081404,-6.45217201644849,9,0.00935013687558723
2,117226.825,Alternating,0.000653618444430318,1.69450619957626,-6.14030823877445,9,0.0127673665705378
2,117226.825,Fixed-B1,7.59453857919709e-05,25.6495739458439,-6.82991705322451,9,0.0154398650923918
2,117226.825,Fixed-B2,6.96083832328113e-05,22.8557890511275,-6.9556806810681,9,0.0127227337550224
2,117226.825,Fixed-B3,0.000240309895743496,6.15215927333588,-6.4494291174545,9,0.0127049514005821
3,117586.825,Alternating,0.000704181162846993,1.60543719184164,-6.09903787265335,9,0.0128619336100238
3,117586.825,Fixed-B1,9.7982192565772e-05,19.1428299830929,-6.73569954612511,9,0.0154011644186291
3,117586.825,Fixed-B2,5.43639033168837e-05,30.055844683345,-7.05144979107986,9,0.0124513648437075
3,117586.825,Fixed-B3,0.000204590939743754,7.83095660937593,-6.48441238564967,9,0.0124731199009131
4,117946.825,Alternating,0.000568345094887039,2.3416009780426,-6.12126287576672,9,0.0156865556224738
4,117946.825,Fixed-B1,0.000123707221667667,14.5085747205914,-6.65358513908296,9,0.0155544977626493
4,117946.825,Fixed-B2,3.77793909141648e-05,44.4738940493882,-7.1973849273913,9,0.0124546926332388
4,117946.825,Fixed-B3,0.000150014161115604,11.6354377252895,-6.58195275526408,9,0.013062073863121
5,118306.825,Alternating,0.000649470756249105,1.79891434309847,-6.11987031273693,9,0.013177775156997
5,118306.825,Fixed-B1,0.000151545205898262,11.2691109426914,-6.58702593819872,9,0.0154450963068986
5,118306.825,Fixed-B2,2.50776915598176e-05,68.5873065818365,-7.36518112090304,9,0.00823304372324946
5,118306.825,Fixed-B3,0.000100285608479711,18.775876547071,-6.72392254653108,9,0.0122775921057143
6,118666.825,Alternating,0.000643411719478794,1.92707509961304,-6.09812342493099,9,0.0143022434673969
6,118666.825,Fixed-B1,0.000192243608940957,8.36910937039465,-6.50961693251888,9,0.0151473932701345
6,118666.825,Fixed-B2,2.38890832542812e-05,73.0055156669808,-7.38024534070708,9,0.0131158998106164
6,118666.825,Fixed-B3,7.5734697111231e-05,26.0882412122977,-6.82496540700845,9,0.0138121904061568
