WindowID,WindowEndTime,Scenario,HorizontalLambdaMin,HorizontalCondition,HorizontalLogDet,FullRank,FullWeakSingularValue
1,3239.01,Alternating,0.000652557088983268,2.01643599743768,-6.0661785332539,9,0.0152655057871292
1,3239.01,Fixed-B1,7.04953395510174e-05,30.0317143964632,-6.82609905506709,9,0.000509759536347969
1,3239.01,Fixed-B2,2.14239136553425e-05,89.8300868110188,-7.38478054144862,9,0.000355708967520217
1,3239.01,Fixed-B3,3.31068038968516e-05,54.9597894516897,-7.22012041365034,9,0.000212703821715539
2,3599.01,Alternating,0.000644821981104635,2.08457925315308,-6.0621019207667,9,0.00197385426830722
2,3599.01,Fixed-B1,7.22413140509549e-05,29.6089983570053,-6.81100500373341,9,0.000546797618625101
2,3599.01,Fixed-B2,2.27403599891052e-05,85.3961866957467,-7.35496683173162,9,0.000234921638589773
2,3599.01,Fixed-B3,3.0026293138863e-05,59.9715559276917,-7.26705122841435,9,0.000223330066372283
3,3959.01,Alternating,0.000587804651421075,2.46943795878467,-6.06893584254948,9,0.00112852185839938
3,3959.01,Fixed-B1,7.28853876073162e-05,29.5699925658563,-6.8038678430596,9,0.000353654225544801
3,3959.01,Fixed-B2,2.41530832576185e-05,81.1542849978816,-7.32474336917984,9,0.000147510983955766
3,3959.01,Fixed-B3,2.8399278134413e-05,62.750411176575,-7.2957688063648,9,0.000661855388774745
4,4319.01,Alternating,0.000641429097242059,2.10182404917002,-6.06310632804614,9,0.0154939907947513
4,4319.01,Fixed-B1,7.47297256758479e-05,28.9379764699575,-6.79154505878654,9,0.00311277257275926
4,4319.01,Fixed-B2,2.7942959271771e-05,70.7649901070651,-7.25763673845472,9,0.00130587237064977
4,4319.01,Fixed-B3,2.67009488500003e-05,66.1172877461982,-7.32663156416905,9,0.000193448735959115
5,4679.01,Alternating,0.000628227594856954,2.18085995753942,-6.06513820276909,9,0.006164641495516
5,4679.01,Fixed-B1,7.06421001836152e-05,30.6897148806251,-6.81487993536704,9,0.00160594120054484
5,4679.01,Fixed-B2,3.00310748916962e-05,66.4972436277703,-7.22205458749914,9,0.000760159352733181
5,4679.01,Fixed-B3,2.38059420055996e-05,73.5787037907829,-7.37987710622446,9,0.000616155859932029
