Frequency,Nominal,Min,Max
4580,-70.0344016538418,-71.82085727279387,-68.31588419533516
4750,-68.96718385392404,-70.76873641193608,-67.23349680632435
4880,-68.17046742724276,-69.9840270560043,-66.42470300320343
5000,-67.44893580218667,-69.27394156134892,-65.69164787819928
5150,-66.56458213344885,-68.40439464744367,-64.7923723600407
5300,-65.69844281048373,-67.55362819681947,-63.91072272415101
5500,-64.56971572173455,-66.44630146059833,-62.76037344708115
5650,-63.74124432012109,-65.63457557294149,-61.91495812869217
5800,-62.92706498881434,-64.83775383430424,-61.083192495315004
6000,-61.862010255021104,-63.79682129724935,-59.99365865504596
6150,-61.0774151434415,-63.03107295219669,-59.18990621983145
6300,-60.30403737112525,-62.277208242380304,-58.396664467061484
6450,-59.54107876301759,-61.53444708610243,-57.613113618003595
6600,-58.787788494655075,-60.802057677093075,-56.838480058488805
6750,-58.04345843526285,-60.07935187842608,-56.07203160974713
6880,-57.40510171743481,-59.460337560466485,-55.41385906843868
7000,-56.82101708091706,-58.894616110442264,-54.81093424745853
7150,-56.097400220856805,-58.19465835071762,-54.063004069501076
7320,-55.28532933463958,-57.410376803410266,-53.22231821723097
7500,-54.43392381935226,-56.58956488399458,-52.339338442174856
7650,-53.73039904000955,-55.91248668277001,-51.60845854867701
7800,-53.0317699684486,-55.24119999390613,-50.88148828112604
8000,-52.107040652374195,-54.354372997439775,-49.91737161659864
8200,-51.18904144495812,-53.47599847472076,-48.95806982436342
8400,-50.27670804525914,-52.60509381800007,-48.0024155930892
8600,-49.36901428758367,-51.74072070519148,-47.04927119055973
8800,-48.46496575595958,-50.88197927255122,-46.097521207945825
9000,-47.563593843478706,-50.02800279568441,-45.14606563894716
9200,-46.66395016562876,-49.177952796450455,-44.193813186665984
9400,-45.76510124597351,-48.33101450386604,-43.23967469759667
9600,-44.8661233995231,-47.48639260559368,-42.282556625898884
9800,-43.96609774416474,-46.643307233389095,-41.321354432388404
10000,-43.06410527381841,-45.8009901312288,-40.35494582155988
10200,-42.15922192869491,-44.95868095894976,-39.38218371651662
10400,-41.25051359826816,-44.115623687263,-38.40188886594341
10600,-40.33703099138555,-43.27106304206733,-37.412841969226754
10800,-39.417804305356825,-42.42424095717324,-36.413775195540346
11000,-38.49183762188443,-41.57439299490651,-35.40336296031238
11200,-37.55810295232812,-40.7207446936348,-34.38021180835273
11500,-36.140590911498535,-39.431417568450506,-32.81835387268711
11800,-34.6993921108018,-38.129022496182735,-31.21912867942184
12000,-33.72342877393824,-37.252092196603904,-30.129311375670156
12200,-32.73383216256173,-36.36720043605698,-29.018331291907987
12500,-31.220838348379164,-35.02290913223546,-27.307571228898556
12800,-29.66900341308974,-33.6553325847521,-25.536647171800283
13000,-28.61012430068234,-32.72893896156239,-24.318265394366914
13200,-27.52967851177319,-31.78950050388536,-23.066280903215915
13500,-25.864208165169575,-30.353248737731263,-21.11821472435045
13800,-24.138341534423343,-28.88056630131739,-19.075301731348414
14000,-22.950119508252467,-27.87616810511636,-17.65420405896868
14200,-21.72860818418307,-26.851867178361655,-16.18108373205958
14500,-19.827366389237046,-25.274361002593345,-13.865657486484892
14800,-17.833607738005053,-23.641943461634128,-11.416066848139426
15000,-16.44736245073005,-22.519703191029063,-9.71016128951738
15500,-12.759171752601578,-19.578164359826115,-5.288551295668111
16000,-8.743355507551401,-16.40966169453556,-1.2530875090108327
16500,-4.553193528055288,-12.972719158114165,1.4770237038860303
17000,-0.8872058675544412,-9.248332969251917,3.6906551687602285
17500,1.1397094008438013,-7.102224560305,6.041924803291839
18000,1.7322868638848052,-7.126875248899781,8.291361189732665
18500,1.9669003892097416,-6.7995044134833,10.39121827100928
19000,2.2898478103004036,-6.166637834030087,11.213078296580631
19500,2.708640637674674,-5.312085214917008,11.203481310287591
20000,3.1240069364756824,-4.977032011982196,10.508226048810371
20500,3.3698827019530104,-5.262326683106682,9.041462001795542
21000,3.0475829887643595,-5.34060667077304,7.687453423811802
21500,1.5792774995220653,-5.91179134131159,6.163914298538819
22000,-1.0328702727841248,-9.030475659737839,4.197813438172918
22500,-4.1238019995439394,-11.868427779426021,3.200171706808928
23000,-7.178296922003043,-14.429489933865574,1.3630090652856235
23500,-10.008439226580583,-16.74571211670472,-1.0978309976714966
24000,-12.58262567403668,-18.851773324375003,-3.9739225985151707
24500,-14.918996286730508,-20.778363023538084,-6.836224365470066
25000,-17.046815913161645,-22.551156336631585,-9.513400789684814
25500,-18.99466715519805,-24.191300700628908,-11.96776134407508
26000,-20.787444125644893,-25.716287515388196,-14.209147969756394
27000,-23.987910364059005,-28.484055835711274,-18.145354235852995
27500,-25.427466916798164,-29.74415755208275,-19.885800110124144
28000,-26.776826251111025,-30.933628651551246,-21.500275212703936
28500,-28.046162750307076,-32.05973936858476,-23.00447058835629
29000,-29.24409335813371,-33.12872907484993,-24.41158577231822
29500,-30.377966604445227,-34.1459872954812,-25.732748034398305
30000,-31.45409133249887,-35.116197698436665,-26.977381643808307
30500,-32.47791824210911,-36.04345349612898,-28.15351437382059
31000,-33.45418475091441,-36.931350637921085,-29.26802601754886
31500,-34.387031330864914,-37.78306362666969,-30.326848245265765
32000,-35.28009558036356,-38.60140764001022,-31.335125188435008
33000,-36.95935890338599,-40.14775160877576,-33.217433743247604
34000,-38.51360572303369,-41.58746057732038,-34.944694827471864
35000,-39.96011214009669,-42.93437334685181,-36.54017958414008
36000,-41.31287732991913,-44.19984790985487,-38.022406007841276
37000,-42.583390814874576,-45.39331234567118,-39.40633034441428
39000,-44.91427129723966,-47.59461746759133,-41.9261219593066
40000,-45.98940225157988,-48.61485513370326,-43.08059761312982
41000,-47.01235577318269,-49.588291090210205,-44.174775078125386
42000,-47.98809402791243,-50.51917092178542,-45.21474792763331
43200,-49.102661895301274,-51.58522517200859,-46.39847490163315
44500,-50.247710908784946,-52.683339050865754,-47.61012433911294
45800,-51.33455513822142,-53.72823916262795,-48.75622722118302
47500,-52.67762277717105,-55.022811448168376,-50.16749865844795
48800,-53.65112612160402,-55.963360773265485,-51.187154535004666
50000,-54.51257133437616,-56.79711507517402,-52.087256856314454
51500,-55.543626845320745,-57.796765128383996,-53.1620137916568
53000,-56.528343568647294,-58.75317812019431,-54.18598284396451
55000,-57.77638176211043,-59.967596024129186,-55.480475109261114
56500,-58.668343852478245,-60.83699505964708,-56.40350327236619
58000,-59.525963942175636,-61.67401515585677,-57.28940485248319
60000,-60.62063760123798,-62.743877758877076,-58.4180309217426
61500,-61.408055156358515,-63.51442714891999,-59.22845766593289
63000,-62.1689710494278,-64.2597836231153,-60.01054040061423
64500,-62.9052093714192,-64.98163105015259,-60.76630350680625
66000,-63.61840872652944,-65.6814863574135,-61.49755886185601
67500,-64.31004657207126,-66.36072095366133,-62.205934517257845
68800,-64.89306170688718,-66.93367557153675,-62.802491520626674
70000,-65.41843639401412,-67.4502824389866,-63.33964097251582
71500,-66.05878420868626,-68.08031194262081,-63.9938110382343
73200,-66.76374236815778,-68.77436014538982,-64.71333969437492
75000,-67.48758099138445,-69.48746499666662,-65.45146473965276
76500,-68.07408120675288,-70.06560065725009,-66.0490611780419
78000,-68.64623707066733,-70.62987131498295,-66.63164507379591
80000,-69.38803477760477,-71.36183221015563,-67.38640358478756
82000,-70.1071642566082,-72.07182195975366,-68.11752240104444
84000,-70.80503451819408,-72.76117641204894,-68.82651236382256
86000,-71.48292344800718,-73.43110956034563,-69.51474013477208
