序号,经度,纬度
1,120.678393,36.359419
2,120.679219,36.359199
3,120.679605,36.359059
4,120.680120,36.358871
5,120.680517,36.358732
6,120.683011,36.357820
7,120.683762,36.357541
8,120.683848,36.357509
9,120.684455,36.357289
10,120.685254,36.356994
11,120.686139,36.356677
12,120.687045,36.356334
13,120.689180,36.355540
14,120.690490,36.355057
15,120.691471,36.354725
16,120.692270,36.354462
17,120.693107,36.354172
18,120.693724,36.353990
19,120.693933,36.353952
20,120.678413,36.359414
21,120.678432,36.359409
22,120.678452,36.359403
23,120.678472,36.359398
24,120.678491,36.359393
25,120.678511,36.359388
26,120.678531,36.359382
27,120.678550,36.359377
28,120.678570,36.359372
29,120.678590,36.359367
30,120.678609,36.359361
31,120.678629,36.359356
32,120.678649,36.359351
33,120.678668,36.359346
34,120.678688,36.359340
35,120.678708,36.359335
36,120.678727,36.359330
37,120.678747,36.359325
38,120.678767,36.359319
39,120.678786,36.359314
40,120.678806,36.359309
41,120.678826,36.359304
42,120.678845,36.359299
43,120.678865,36.359293
44,120.678885,36.359288
45,120.678904,36.359283
46,120.678924,36.359278
47,120.678944,36.359272
48,120.678963,36.359267
49,120.678983,36.359262
50,120.679003,36.359257
51,120.679022,36.359251
52,120.679042,36.359246
53,120.679062,36.359241
54,120.679081,36.359236
55,120.679101,36.359230
56,120.679121,36.359225
57,120.679140,36.359220
58,120.679160,36.359215
59,120.679180,36.359209
60,120.679199,36.359204
61,120.679238,36.359192
62,120.679258,36.359185
63,120.679277,36.359178
64,120.679296,36.359171
65,120.679316,36.359164
66,120.679335,36.359157
67,120.679354,36.359150
68,120.679373,36.359143
69,120.679393,36.359136
70,120.679412,36.359129
71,120.679431,36.359122
72,120.679451,36.359115
73,120.679470,36.359108
74,120.679489,36.359101
75,120.679508,36.359094
76,120.679528,36.359087
77,120.679547,36.359080
78,120.679566,36.359073
79,120.679586,36.359066
80,120.679624,36.359052
81,120.679643,36.359045
82,120.679662,36.359038
83,120.679681,36.359031
84,120.679700,36.359024
85,120.679719,36.359017
86,120.679739,36.359010
87,120.679758,36.359003
88,120.679777,36.358996
89,120.679796,36.358989
90,120.679815,36.358982
91,120.679834,36.358975
92,120.679853,36.358968
93,120.679872,36.358962
94,120.679891,36.358955
95,120.679910,36.358948
96,120.679929,36.358941
97,120.679948,36.358934
98,120.679967,36.358927
99,120.679986,36.358920
100,120.680006,36.358913
101,120.680025,36.358906
102,120.680044,36.358899
103,120.680063,36.358892
104,120.680082,36.358885
105,120.680101,36.358878
106,120.680139,36.358864
107,120.680158,36.358858
108,120.680177,36.358851
109,120.680196,36.358845
110,120.680215,36.358838
111,120.680233,36.358831
112,120.680252,36.358825
113,120.680271,36.358818
114,120.680290,36.358811
115,120.680309,36.358805
116,120.680328,36.358798
117,120.680347,36.358792
118,120.680366,36.358785
119,120.680385,36.358778
120,120.680404,36.358772
121,120.680422,36.358765
122,120.680441,36.358758
123,120.680460,36.358752
124,120.680479,36.358745
125,120.680498,36.358739
126,120.680536,36.358725
127,120.680555,36.358718
128,120.680574,36.358711
129,120.680593,36.358704
130,120.680611,36.358697
131,120.680630,36.358691
132,120.680649,36.358684
133,120.680668,36.358677
134,120.680687,36.358670
135,120.680706,36.358663
136,120.680725,36.358656
137,120.680744,36.358649
138,120.680763,36.358642
139,120.680782,36.358635
140,120.680800,36.358628
141,120.680819,36.358621
142,120.680838,36.358615
143,120.680857,36.358608
144,120.680876,36.358601
145,120.680895,36.358594
146,120.680914,36.358587
147,120.680933,36.358580
148,120.680952,36.358573
149,120.680970,36.358566
150,120.680989,36.358559
151,120.681008,36.358552
152,120.681027,36.358545
153,120.681046,36.358539
154,120.681065,36.358532
155,120.681084,36.358525
156,120.681103,36.358518
157,120.681122,36.358511
158,120.681140,36.358504
159,120.681159,36.358497
160,120.681178,36.358490
161,120.681197,36.358483
162,120.681216,36.358476
163,120.681235,36.358469
164,120.681254,36.358463
165,120.681273,36.358456
166,120.681292,36.358449
167,120.681311,36.358442
168,120.681329,36.358435
169,120.681348,36.358428
170,120.681367,36.358421
171,120.681386,36.358414
172,120.681405,36.358407
173,120.681424,36.358400
174,120.681443,36.358393
175,120.681462,36.358387
176,120.681481,36.358380
177,120.681499,36.358373
178,120.681518,36.358366
179,120.681537,36.358359
180,120.681556,36.358352
181,120.681575,36.358345
182,120.681594,36.358338
183,120.681613,36.358331
184,120.681632,36.358324
185,120.681651,36.358317
186,120.681670,36.358311
187,120.681688,36.358304
188,120.681707,36.358297
189,120.681726,36.358290
190,120.681745,36.358283
191,120.681764,36.358276
192,120.681783,36.358269
193,120.681802,36.358262
194,120.681821,36.358255
195,120.681840,36.358248
196,120.681858,36.358241
197,120.681877,36.358235
198,120.681896,36.358228
199,120.681915,36.358221
200,120.681934,36.358214
201,120.681953,36.358207
202,120.681972,36.358200
203,120.681991,36.358193
204,120.682010,36.358186
205,120.682029,36.358179
206,120.682047,36.358172
207,120.682066,36.358165
208,120.682085,36.358159
209,120.682104,36.358152
210,120.682123,36.358145
211,120.682142,36.358138
212,120.682161,36.358131
213,120.682180,36.358124
214,120.682199,36.358117
215,120.682217,36.358110
216,120.682236,36.358103
217,120.682255,36.358096
218,120.682274,36.358089
219,120.682293,36.358083
220,120.682312,36.358076
221,120.682331,36.358069
222,120.682350,36.358062
223,120.682369,36.358055
224,120.682387,36.358048
225,120.682406,36.358041
226,120.682425,36.358034
227,120.682444,36.358027
228,120.682463,36.358020
229,120.682482,36.358013
230,120.682501,36.358007
231,120.682520,36.358000
232,120.682539,36.357993
233,120.682558,36.357986
234,120.682576,36.357979
235,120.682595,36.357972
236,120.682614,36.357965
237,120.682633,36.357958
238,120.682652,36.357951
239,120.682671,36.357944
240,120.682690,36.357937
241,120.682709,36.357931
242,120.682728,36.357924
243,120.682746,36.357917
244,120.682765,36.357910
245,120.682784,36.357903
246,120.682803,36.357896
247,120.682822,36.357889
248,120.682841,36.357882
249,120.682860,36.357875
250,120.682879,36.357868
251,120.682898,36.357861
252,120.682917,36.357855
253,120.682935,36.357848
254,120.682954,36.357841
255,120.682973,36.357834
256,120.682992,36.357827
257,120.683030,36.357813
258,120.683049,36.357806
259,120.683067,36.357799
260,120.683086,36.357792
261,120.683105,36.357785
262,120.683124,36.357778
263,120.683142,36.357771
264,120.683161,36.357764
265,120.683180,36.357757
266,120.683199,36.357750
267,120.683218,36.357743
268,120.683236,36.357736
269,120.683255,36.357729
270,120.683274,36.357722
271,120.683293,36.357715
272,120.683311,36.357708
273,120.683330,36.357701
274,120.683349,36.357694
275,120.683368,36.357687
276,120.683386,36.357681
277,120.683405,36.357674
278,120.683424,36.357667
279,120.683443,36.357660
280,120.683462,36.357653
281,120.683480,36.357646
282,120.683499,36.357639
283,120.683518,36.357632
284,120.683537,36.357625
285,120.683555,36.357618
286,120.683574,36.357611
287,120.683593,36.357604
288,120.683612,36.357597
289,120.683631,36.357590
290,120.683649,36.357583
291,120.683668,36.357576
292,120.683687,36.357569
293,120.683706,36.357562
294,120.683724,36.357555
295,120.683743,36.357548
296,120.683784,36.357533
297,120.683805,36.357525
298,120.683826,36.357517
299,120.683867,36.357502
300,120.683886,36.357495
301,120.683905,36.357488
302,120.683924,36.357481
303,120.683943,36.357475
304,120.683962,36.357468
305,120.683981,36.357461
306,120.684000,36.357454
307,120.684019,36.357447
308,120.684038,36.357440
309,120.684057,36.357433
310,120.684076,36.357427
311,120.684095,36.357420
312,120.684114,36.357413
313,120.684133,36.357406
314,120.684151,36.357399
315,120.684170,36.357392
316,120.684189,36.357385
317,120.684208,36.357378
318,120.684227,36.357371
319,120.684246,36.357365
320,120.684265,36.357358
321,120.684284,36.357351
322,120.684303,36.357344
323,120.684322,36.357337
324,120.684341,36.357330
325,120.684360,36.357323
326,120.684379,36.357317
327,120.684398,36.357310
328,120.684417,36.357303
329,120.684436,36.357296
330,120.684474,36.357282
331,120.684493,36.357275
332,120.684512,36.357268
333,120.684531,36.357261
334,120.684550,36.357254
335,120.684569,36.357247
336,120.684588,36.357240
337,120.684607,36.357233
338,120.684626,36.357226
339,120.684645,36.357219
340,120.684664,36.357212
341,120.684683,36.357205
342,120.684702,36.357198
343,120.684721,36.357191
344,120.684740,36.357184
345,120.684759,36.357177
346,120.684778,36.357170
347,120.684797,36.357163
348,120.684816,36.357156
349,120.684835,36.357149
350,120.684855,36.357141
351,120.684874,36.357134
352,120.684893,36.357127
353,120.684912,36.357120
354,120.684931,36.357113
355,120.684950,36.357106
356,120.684969,36.357099
357,120.684988,36.357092
358,120.685007,36.357085
359,120.685026,36.357078
360,120.685045,36.357071
361,120.685064,36.357064
362,120.685083,36.357057
363,120.685102,36.357050
364,120.685121,36.357043
365,120.685140,36.357036
366,120.685159,36.357029
367,120.685178,36.357022
368,120.685197,36.357015
369,120.685216,36.357008
370,120.685235,36.357001
371,120.685273,36.356987
372,120.685292,36.356981
373,120.685310,36.356974
374,120.685329,36.356967
375,120.685348,36.356960
376,120.685367,36.356954
377,120.685386,36.356947
378,120.685405,36.356940
379,120.685423,36.356933
380,120.685442,36.356927
381,120.685461,36.356920
382,120.685480,36.356913
383,120.685499,36.356906
384,120.685518,36.356900
385,120.685536,36.356893
386,120.685555,36.356886
387,120.685574,36.356879
388,120.685593,36.356873
389,120.685612,36.356866
390,120.685631,36.356859
391,120.685649,36.356852
392,120.685668,36.356846
393,120.685687,36.356839
394,120.685706,36.356832
395,120.685725,36.356825
396,120.685744,36.356819
397,120.685762,36.356812
398,120.685781,36.356805
399,120.685800,36.356798
400,120.685819,36.356792
401,120.685838,36.356785
402,120.685857,36.356778
403,120.685875,36.356771
404,120.685894,36.356765
405,120.685913,36.356758
406,120.685932,36.356751
407,120.685951,36.356744
408,120.685970,36.356738
409,120.685988,36.356731
410,120.686007,36.356724
411,120.686026,36.356717
412,120.686045,36.356711
413,120.686064,36.356704
414,120.686083,36.356697
415,120.686101,36.356690
416,120.686120,36.356684
417,120.686158,36.356670
418,120.686177,36.356663
419,120.686196,36.356656
420,120.686214,36.356648
421,120.686233,36.356641
422,120.686252,36.356634
423,120.686271,36.356627
424,120.686290,36.356620
425,120.686309,36.356613
426,120.686328,36.356606
427,120.686347,36.356598
428,120.686365,36.356591
429,120.686384,36.356584
430,120.686403,36.356577
431,120.686422,36.356570
432,120.686441,36.356563
433,120.686460,36.356556
434,120.686479,36.356548
435,120.686498,36.356541
436,120.686516,36.356534
437,120.686535,36.356527
438,120.686554,36.356520
439,120.686573,36.356513
440,120.686592,36.356505
441,120.686611,36.356498
442,120.686630,36.356491
443,120.686649,36.356484
444,120.686667,36.356477
445,120.686686,36.356470
446,120.686705,36.356463
447,120.686724,36.356455
448,120.686743,36.356448
449,120.686762,36.356441
450,120.686781,36.356434
451,120.686800,36.356427
452,120.686819,36.356420
453,120.686837,36.356413
454,120.686856,36.356405
455,120.686875,36.356398
456,120.686894,36.356391
457,120.686913,36.356384
458,120.686932,36.356377
459,120.686951,36.356370
460,120.686970,36.356363
461,120.686988,36.356355
462,120.687007,36.356348
463,120.687026,36.356341
464,120.687064,36.356327
465,120.687083,36.356320
466,120.687102,36.356313
467,120.687121,36.356306
468,120.687139,36.356299
469,120.687158,36.356292
470,120.687177,36.356285
471,120.687196,36.356278
472,120.687215,36.356271
473,120.687234,36.356264
474,120.687253,36.356257
475,120.687272,36.356250
476,120.687291,36.356243
477,120.687310,36.356236
478,120.687328,36.356229
479,120.687347,36.356222
480,120.687366,36.356215
481,120.687385,36.356208
482,120.687404,36.356200
483,120.687423,36.356193
484,120.687442,36.356186
485,120.687461,36.356179
486,120.687480,36.356172
487,120.687498,36.356165
488,120.687517,36.356158
489,120.687536,36.356151
490,120.687555,36.356144
491,120.687574,36.356137
492,120.687593,36.356130
493,120.687612,36.356123
494,120.687631,36.356116
495,120.687650,36.356109
496,120.687668,36.356102
497,120.687687,36.356095
498,120.687706,36.356088
499,120.687725,36.356081
500,120.687744,36.356074
