编号,经度,纬度
1,120.678393,36.359419
2,120.679219,36.359199
3,120.679605,36.359059
4,120.68012,36.358871
5,120.680517,36.358732
6,120.683011,36.35782
7,120.683762,36.357541
8,120.683848,36.357509
9,120.684455,36.357289
10,120.685254,36.356994
11,120.686139,36.356677
12,120.687045,36.356334
13,120.68918,36.35554
14,120.69049,36.355057
15,120.691471,36.354725
16,120.69227,36.354462
17,120.693107,36.354172
18,120.693724,36.35399
19,120.693933,36.353952
20,120.693933,36.353952
21,120.694089,36.359574
22,120.6941,36.359821
23,120.694116,36.360288
24,120.694137,36.361377
25,120.694169,36.362079
26,120.694169,36.36223
27,120.69418,36.362396
28,120.694207,36.363179
29,120.69425,36.364295
30,120.694255,36.364745
31,120.694266,36.365464
32,120.694255,36.365856
33,120.694159,36.366231
34,120.694239,36.366237
35,120.694094,36.366645
36,120.694035,36.366821
37,120.69389,36.367133
38,120.693692,36.367471
39,120.692753,36.36893
40,120.692158,36.369986
41,120.691906,36.370426
42,120.691857,36.370507
43,120.691729,36.370823
44,120.691433,36.371585
45,120.691176,36.372416
46,120.691106,36.372653
47,120.690629,36.374235
48,120.690516,36.374627
49,120.690436,36.374981
50,120.690382,36.375303
51,120.69035,36.375598
52,120.69035,36.375732
53,120.69035,36.375925
54,120.69035,36.376086
55,120.690409,36.376842
56,120.690436,36.377202
57,120.690243,36.377202
58,120.690238,36.377162
